run_id,run_label,scenario,writer_instance,reader_instance,client_instance,tps,tps_config,n,min_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_ms,stdev_ms
M1,v17-M1-r7glarge-tps1280,blue-green,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,5,4080,4140,5130,5256,5298,5331,5340,4556,558
M1,v17-M1-r7glarge-tps1280,failover,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,5,7620,9560,9860,10712,10996,11223,11280,9574,1167
M1,v17-M1-r7glarge-tps1280,reboot,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,5,120,190,190,196,198,199,200,178,29
M2,v17-M2-r7g2xl-tps1280,blue-green,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,5,3560,3880,4580,4610,4620,4628,4630,4050,466
M2,v17-M2-r7g2xl-tps1280,failover,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,5,6920,8720,11460,11784,11892,11978,12000,9222,2152
M2,v17-M2-r7g2xl-tps1280,reboot,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,5,20,30,40,46,48,49,50,34,10
M3,v17-M3-r7g4xl-tps1280,blue-green,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,5,3540,3772,4370,4400,4410,4418,4420,3968,357
M3,v17-M3-r7g4xl-tps1280,failover,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,5,6900,8480,8840,8900,8920,8936,8940,8306,734
M3,v17-M3-r7g4xl-tps1280,reboot,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,5,30,30,40,40,40,40,40,34,4
M4,v17-M4-r7g8xl-tps1280,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v17-tps1280,5,3270,3370,4230,4248,4254,4259,4261,3692,452
M4,v17-M4-r7g8xl-tps1280,failover,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v17-tps1280,5,7990,8140,10880,13496,14368,15065,15240,10066,2807
M4,v17-M4-r7g8xl-tps1280,reboot,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v17-tps1280,5,20,20,20,22,23,23,24,20,1
T2,v17-T2-r7g8xl-tps2560,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v17-tps2560,5,3403,3821,4490,4589,4622,4648,4655,3983,501
T2,v17-T2-r7g8xl-tps2560,failover,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v17-tps2560,5,8240,11040,11250,14160,15130,15906,16100,11004,2846
T2,v17-T2-r7g8xl-tps2560,reboot,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v17-tps2560,5,10,10,10,10,10,10,10,10,0
T3,v17-T3-r7g8xl-tps4000,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v17-tps4000,5,3530,3715,4530,5070,5250,5394,5431,4179,716
T3,v17-T3-r7g8xl-tps4000,failover,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v17-tps4000,5,8620,11590,12540,14610,15300,15852,15990,11892,2424
T3,v17-T3-r7g8xl-tps4000,reboot,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v17-tps4000,5,10,20,20,26,28,29,30,20,6
